Class ID,class,order,family,genus,species,image count,Geographical Spread,Role in Ecosystem,Size Distribution
15,Insecta,Orthoptera,Acrididae,Chimarocephala,pacifica,652,Enter comma-separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
16,Insecta,Orthoptera,Acrididae,Chorthippus,brunneus,3236,"United Kingdom, France, Germany, Spain, Italy",Herbivore,14-22 mm
17,Insecta,Orthoptera,Acrididae,Chortophaga,viridifasciata,5448,"United States, Canada, Mexico, Northern Central America, Eastern North America",Herbivore,20 to 35 millimeters
18,Insecta,Orthoptera,Acrididae,Chortophaga,australior,547,"Eastern United States, Florida, North Carolina, New Jersey, Massachusetts, Texas",Herbivore,Approximately 30 to 50 mm
19,Insecta,Orthoptera,Acrididae,Chrysochraon,dispar,852,"Central Europe, Eastern Europe, Russia, Western Asia, North Kazakhstan",Herbivore,Approximately 15-25 mm
20,Insecta,Orthoptera,Acrididae,Dactylotum,bicolor,1024,"United States, Mexico, Central America, Colorado, Arizona",Herbivore,approximately 25 to 35 millimeters
21,Insecta,Orthoptera,Acrididae,Dichromorpha,viridis,1836,"United States, Canada, Mexico, Northern South America, Central America",Herbivore,Approximately 20 to 35 millimeters
22,Insecta,Orthoptera,Acrididae,Dissosteira,carolina,6527,"United States, Mexico, Southern Canada, Guatemala, Costa Rica",Primary consumer,Approximately 50 millimeters when the insect is adult
23,Insecta,Orthoptera,Acrididae,Euthystira,brachyptera,892,"Central and Eastern Europe, Balkans, Russia, Kazakhstan, Western Siberia",,15-25 mm
24,Insecta,Orthoptera,Acrididae,Gomphocerippus,rufus,1257,"United Kingdom, France, Italy, Spain, Portugal",Predator,14-22 mm
25,Insecta,Orthoptera,Acrididae,Hesperotettix,viridis,470,"United States, Canada, Mexico, Great Plains, Rocky Mountains",Pest,Approximately 20-35 millimeters
26,Insecta,Orthoptera,Acrididae,Leptysma,marginicollis,464,"United States, Mexico, Central America, South America, Caribbean",Herbivore,45-55 mm
27,Insecta,Orthoptera,Acrididae,Locusta,migratoria,1166,"Africa, Europe, Asia, Australia",Pest,45-70 millimeters
28,Insecta,Orthoptera,Acrididae,Melanoplus,bivittatus,6959,"United States, Canada, Mexico, Central America, parts of South America",Pest,Approximately 20-35 millimeters
29,Insecta,Orthoptera,Acrididae,Melanoplus,differentialis,11629,"United States, Canada, Mexico, Central America, South America",Pest,Approximately 24 to 48 millimeters
30,Insecta,Orthoptera,Acrididae,Melanoplus,punctulatus,3308,"United States, Canada, Mexico, Guatemala, Honduras",Pest,20-35 mm
31,Insecta,Orthoptera,Acrididae,Melanoplus,femurrubrum,2548,"United States, Mexico, Southern Canada, Northeastern Costa Rica, Panama",Pest,18-35 mm
32,Insecta,Orthoptera,Acrididae,Mermiria,bivittata,840,"United States, Mexico, Guatemala, Costa Rica, Panama",Herbivore,Approximately 20-35 mm
33,Insecta,Orthoptera,Acrididae,Oedipoda,caerulescens,4120,"Western and Central Europe, North Africa, Western and Central Asia",Herbivore,15-30 mm
34,Insecta,Orthoptera,Acrididae,Omocestus,rufipes,875,"United Kingdom, France, Germany, Sweden, Spain",Herbivore,14-22 mm
35,Insecta,Orthoptera,Acrididae,Omocestus,viridulus,1469,"Europe, North Asia, North Africa",Herbivore,14-22 mm
36,Insecta,Orthoptera,Acrididae,Pezotettix,giornae,1389,"Italy, France, Switzerland, Spain, Slovenia",Herbivore,20-35 mm
37,Insecta,Orthoptera,Acrididae,Phaulacridium,marginale,599,"New Zealand, especially in Otago and Southland regions",Herbivore,15-35 millimeters
38,Insecta,Orthoptera,Acrididae,Phaulacridium,vittatum,624,"Australia, New Zealand, Tasmania, Kangaroo Island, Lord Howe Island",Pest,20-35 mm
39,Insecta,Orthoptera,Acrididae,Pseudochorthippus,parallelus,4502,"United Kingdom, France, Germany, Spain, Italy",Herbivore,"15-22 mm for males, 22-30 mm for females"
40,Insecta,Orthoptera,Acrididae,Pseudochorthippus,curtipennis,588,"Europe, Russia, Western Asia, North America, Northern Africa",,20-25 millimeters
41,Insecta,Orthoptera,Acrididae,Schistocerca,lineata,1167,"United States, Mexico, Central America, South America, West Indies",Herbivore,Approximately 50-70 millimeters
42,Insecta,Orthoptera,Acrididae,Schistocerca,nitens,8824,"United States, Mexico, Central America, South America, Caribbean",Pest,Approximately 50-70 millimeters
43,Insecta,Orthoptera,Acrididae,Schistocerca,americana,4343,"United States, Mexico, Central America, South America",Pest,Approximately 50 to 60 mm
44,Insecta,Orthoptera,Acrididae,Schistocerca,obscura,3868,"United States, Mexico, Central America, South America",Pest,50-70 mm
45,Insecta,Orthoptera,Acrididae,Stethophyma,grossum,1048,"Northern Europe, Asia, Central Russia, Finland, Estonia",Indicator species,23-35 millimeters
46,Insecta,Orthoptera,Acrididae,Syrbula,admirabilis,1468,"United States, Mexico, Argentina, Central America, South America",Herbivore,Approximately 25 to 35 millimeters
47,Insecta,Orthoptera,Acrididae,Trimerotropis,verruculata,605,"United States, Canada, Mexico, Great Plains, Rocky Mountains","It serves primarily as a herbivore, but can be considered a pest in some environments.",Approximately 20-35 millimeters
48,Insecta,Orthoptera,Acrididae,Trimerotropis,maritima,738,"United States, Canada, Mexico, France, Spain",Predator,20-35 millimeters
49,Insecta,Orthoptera,Acrididae,Trimerotropis,pallidipennis,3105,"United States, Mexico, Central America, South America, Caribbean",Pest,Approximately 20-35 millimeters
50,Insecta,Orthoptera,Acrididae,Valanga,nigricornis,668,"Indonesia, Malaysia, Thailand, Philippines, New Guinea",Pest,Approximately 40-60 mm
51,Insecta,Orthoptera,Acrididae,Valanga,irregularis,1372,"Australia, New Guinea, Indonesia, Solomon Islands, East Timor",Pest,Up to 90 millimeters
52,Insecta,Orthoptera,Acrididae,Xenocatantops,humilis,607,"India, China, Southeast Asia, Australia, Pacific Islands",Pest,Approximately 20-35 mm
53,Insecta,Hemiptera,Adelgidae,Adelges,tsugae,1659,"Eastern United States, Pacific Northwest, British Columbia, Asia","Invasive species, Pest",1.0–1.5 mm
54,Insecta,Lepidoptera,Adelidae,Adela,reaumurella,1143,"United Kingdom, France, Germany, Denmark, Spain",Pollinator,10-15 mm
55,Insecta,Lepidoptera,Adelidae,Nemophora,degeerella,567,"United Kingdom, Ireland, Germany, France, Poland",Pollinator,12-15 mm wingspan
56,Insecta,Odonata,Aeshnidae,Adversaeschna,brevistyla,1268,"Australia, New Guinea, Solomon Islands, New Caledonia, Vanuatu",Predator,70-80 millimeters
57,Insecta,Odonata,Aeshnidae,Aeshna,tuberculifera,1379,"United States, Canada, Michigan, New York, Wisconsin",Predator,Approximately 65-72 millimeters
58,Insecta,Odonata,Aeshnidae,Aeshna,cyanea,4734,"United Kingdom, France, Scandinavia, Italy, Greece",Predator,70-76 millimeters
59,Insecta,Odonata,Aeshnidae,Aeshna,canadensis,2988,"Canada, United States, Alaska, Michigan, Maine",Predator,70 mm
60,Insecta,Odonata,Aeshnidae,Aeshna,interrupta,2325,"United States, Canada, Alaska, British Columbia, Washington",Predator,68 to 77 millimeters
61,Insecta,Odonata,Aeshnidae,Aeshna,mixta,2432,"Europe, North Africa, Asia, Middle East",Predator,63 to 68 millimeters
62,Insecta,Odonata,Aeshnidae,Aeshna,palmata,1812,"Western North America, California, Oregon, Washington, British Columbia, Alaska",Predator,Approximately 68 to 76 millimeters
63,Insecta,Odonata,Aeshnidae,Aeshna,constricta,1319,"United States, Canada, Michigan, New York, Wisconsin",Predator,Approximately 65-78 millimeters
64,Insecta,Odonata,Aeshnidae,Aeshna,eremita,1592,"North America, Canada, United States, Alaska, Northern Europe",Predator,70-78 millimeters
65,Insecta,Odonata,Aeshnidae,Aeshna,grandis,1446,"United Kingdom, Spain, Russia, Scandinavia, Baltics",Predator,70-73 millimeters
66,Insecta,Odonata,Aeshnidae,Aeshna,verticalis,552,"Canada, United States, Alaska, Michigan, New York",Predator,63 to 68 millimeters
67,Insecta,Odonata,Aeshnidae,Aeshna,umbrosa,4500,"United States, Canada, Mexico, Cuba, Jamaica",Predator,70-78 millimeters
68,Insecta,Odonata,Aeshnidae,Aeshna,juncea,2253,"United Kingdom, Sweden, Finland, Russia, Canada",Predator,65–72 millimeters
69,Insecta,Odonata,Aeshnidae,Anax,parthenope,1023,"Southern Europe, Central Asia, Africa, Middle East",Predator,74-78 millimeters
70,Insecta,Odonata,Aeshnidae,Anax,imperator,3252,"Europe, Northern Africa, Middle East, West Asia",Predator,106-128 millimeters
71,Insecta,Odonata,Aeshnidae,Anax,longipes,950,"United States, Canada, Mexico, Cuba, Jamaica",Predator,Approximately 70-85 millimeters
72,Insecta,Odonata,Aeshnidae,Anax,junius,15025,"North America, Central America, the West Indies, and Asia",Predator,74 to 80 millimeters
73,Insecta,Odonata,Aeshnidae,Basiaeschna,janata,1054,"India, Nepal, Sri Lanka, Thailand, and China",Predator,70-80 millimeters
74,Insecta,Odonata,Aeshnidae,Boyeria,vinosa,991,"United States, Canada, Mexico, Guatemala, Honduras",Predator,70-85 millimeters
75,Insecta,Odonata,Aeshnidae,Epiaeschna,heros,2427,"United States, Mexico, Argentina, Belize, Guatemala",Predator,Approximately 68–76 millimeters
76,Insecta,Odonata,Aeshnidae,Gomphaeschna,furcillata,833,"United States, Canada, Mexico, Georgia, Florida",Predator,Approximately 50 to 54 millimeters
77,Insecta,Odonata,Aeshnidae,Nasiaeschna,pentacantha,796,"India, Bangladesh, Myanmar, Thailand, China",Predator,Not specified
78,Insecta,Odonata,Aeshnidae,Rhionaeschna,multicolor,3967,"United States, Mexico, Guatemala, Belize, Honduras",Predator,Approximately 65-70 millimeters
79,Insecta,Odonata,Aeshnidae,Rhionaeschna,mutata,473,Enter comma separated list of top 5 places where this insect is found,Predator,Enter size in millimeter when the insect is adult
80,Insecta,Odonata,Aeshnidae,Rhionaeschna,californica,1202,"California, Oregon, Washington, British Columbia, Idaho",Predator,Approximately 70 to 85 millimeters
81,Insecta,Hemiptera,Alydidae,Hyalymenus,tarsatus,968,"Texas, Oklahoma, Mexico, Arizona, Louisiana",Predator,Approximately 12-15 millimeters
82,Insecta,Hemiptera,Alydidae,Riptortus,pedestris,522,"Japan, Korea, China, Taiwan, Russia",Pest,12-15 millimeters
83,Insecta,Mantodea,Amelidae,Ameles,spallanzania,688,"Southern Europe, Northern Africa, Central Asia, Southern France, Northern Italy",Predator,25 to 35 millimeters
84,Insecta,Hymenoptera,Andrenidae,Andrena,fulva,1589,"United Kingdom, Netherlands, Germany, Sweden, Poland",Pollinator,10-12 mm
85,Insecta,Hymenoptera,Andrenidae,Andrena,wilkella,1144,"United Kingdom, Ireland, Northern Europe, Central Europe, Northern Asia",Pollinator,Approximately 9-10 mm
86,Insecta,Hymenoptera,Andrenidae,Andrena,cineraria,1583,"United Kingdom, Netherlands, Germany, France, Poland",Pollinator,10-14 millimeters
87,Insecta,Dermaptera,Anisolabididae,Euborellia,annulipes,696,"United States, Mexico, Caribbean, South America, Southern Europe",Decomposer,12-16 mm
88,Insecta,Orthoptera,Anostostomatidae,Hemideina,crassidens,928,"Wellington region, Hutt Valley, Kapiti Coast, Porirua, Wairarapa",Predator,50 to 60 millimeters
89,Insecta,Orthoptera,Anostostomatidae,Hemideina,thoracica,866,"Auckland, New Zealand; North Island, Great Barrier Island, Little Barrier Island, Karekare","Predator, Decomposer",Approximately 40 to 50 millimeters
90,Insecta,Lepidoptera,Apatelodidae,Apatelodes,torrefacta,1764,"United States, Canada, North America, Eastern Seaboard, Northeastern US",Pollinator,Approximately 35-50 mm
91,Insecta,Hemiptera,Aphalaridae,Glycaspis,brimblecombei,937,"Australia, United States, New Zealand, Brazil, Italy",Pest,Approximately 1-2 mm
92,Insecta,Hemiptera,Aphalaridae,Pachypsylla,celtidismamma,3312,"United States, Canada, Mexico, Central America, South America",Pest,about 3 to 4 mm
93,Insecta,Hemiptera,Aphalaridae,Pachypsylla,venusta,1950,"United States, Canada, Mexico, Central America, South America",Pest,3-4 mm
94,Insecta,Hemiptera,Aphididae,Aphis,nerii,8034,"Mediterranean, North America, South America, Asia, Australia",Pest,Approximately 2-3 mm
95,Insecta,Hemiptera,Aphididae,Hormaphis,hamamelidis,2125,"Eastern North America, particularly the United States and parts of Canada",Pest,Approximately 2-4 mm
96,Insecta,Hemiptera,Aphididae,Melaphis,rhois,915,"Eastern North America, Canada, United States, Mexico, Europe",Pest,Approximately 2-3 mm
97,Insecta,Hemiptera,Aphididae,Tuberolachnus,salignus,747,"United Kingdom, France, New Zealand, North America, Chile",Pest,5 to 6
98,Insecta,Hemiptera,Aphrophoridae,Philaenus,spumarius,3548,"Europe, Asia, North Africa, North America, South America",Pest,5 to 7 mm
99,Insecta,Hymenoptera,Apidae,Anthophora,californica,1045,"California, Nevada, Oregon, Baja California, Arizona",Pollinator,Approximately 10-15 millimeters
100,Insecta,Hymenoptera,Apidae,Anthophora,urbana,1504,"Southwestern United States, Mexico, Central America, Argentina",Pollinator,Approximately 9-13 mm
101,Insecta,Hymenoptera,Apidae,Apis,dorsata,1376,"India, Nepal, Malaysia, Singapore, Philippines",Pollinator,17-20mm
102,Insecta,Hymenoptera,Apidae,Apis,cerana,2784,"China, India, Japan, Malaysia, Nepal",Pollinator,Approximately 10-13 mm
103,Insecta,Hymenoptera,Apidae,Apis,mellifera,124995,"Europe, Africa, Asia, North America, South America",pollinator,10-15 mm
104,Insecta,Hymenoptera,Apidae,Apis,florea,1025,"Thailand, Sri Lanka, Southwest Asia, India, Oman",Pollinator,8-10 mm
105,Insecta,Hymenoptera,Apidae,Bombus,auricomus,3802,"Canada, United States, Mexico",Pollinator,Approximately 18-23 millimeters
106,Insecta,Hymenoptera,Apidae,Bombus,vancouverensis,284,"Canada, specifically British Columbia",Pollinator,Approximately 14-16 millimeters
107,Insecta,Hymenoptera,Apidae,Bombus,rufocinctus,5064,"Canada, United States, Mexico, Norway, Russia",pollinator,15-17 millimeters
108,Insecta,Hymenoptera,Apidae,Bombus,lapidarius,5282,"United Kingdom, Ireland, Scandinavia, Central Europe, Northern Africa",Pollinator,"16–22 mm for workers, 14–16 mm for males, 20–22 mm for queens"
109,Insecta,Hymenoptera,Apidae,Bombus,flavifrons,2055,"Canada, United States, Mexico, Guatemala, Honduras",Pollinator,Approximately 17 to 23 millimeters
110,Insecta,Hymenoptera,Apidae,Bombus,impatiens,75225,"United States, Canada, Mexico, Costa Rica, Argentina",Pollinator,Approximately 9 to 14 mm
111,Insecta,Hymenoptera,Apidae,Bombus,borealis,3337,"Canada, United States, Alaska, Michigan, Maine",Pollinator,18-25 millimeters
112,Insecta,Hymenoptera,Apidae,Bombus,griseocollis,32079,"United States, Southern Canada, Northeastern Mexico, Georgia, Kentucky",Pollinator,Approximately 8 to 17 millimeters
113,Insecta,Hymenoptera,Apidae,Bombus,huntii,3021,"Western United States, Canada, Mexico",Pollinator,"Approximately 14-18mm for workers, larger for queens"
114,Insecta,Hymenoptera,Apidae,Bombus,terricola,3437,"Canada, United States, particularly in the Northeast and upper Midwest",Pollinator,Approximately 8-17 millimeters
115,Insecta,Hymenoptera,Apidae,Bombus,fervidus,4014,"United States, Canada, Mexico, Central America, Northern South America",pollinator,18-23 millimeters
116,Insecta,Hymenoptera,Apidae,Bombus,hypnorum,4477,"United Kingdom, Scandinavia, Central Europe, Russia, Northern Asia",Pollinator,Approximately 17 to 23 millimeters
117,Insecta,Hymenoptera,Apidae,Bombus,vagans,2335,"Canada, United States, North-eastern Mexico",Pollinator,"9-14 mm for workers, 14-16 mm for drones, and queens are 17-21 mm"
118,Insecta,Hymenoptera,Apidae,Bombus,perplexus,4202,"Canada, United States",Pollinator,Approximately 8-17 millimeters
119,Insecta,Hymenoptera,Apidae,Bombus,mixtus,2791,"Western North America, California, Oregon, Washington, Alaska, British Columbia",Pollinator,Approximately 8 to 17 mm
120,Insecta,Hymenoptera,Apidae,Bombus,bimaculatus,14516,"United States, Canada, Northeastern Mexico, Midwest, Eastern States",Pollinator,Approximately 8 to 16 mm
121,Insecta,Hymenoptera,Apidae,Bombus,vosnesenskii,8488,"Western United States, Canada, Northern Mexico",Pollinator,"14-18 mm for workers, larger for queens"
122,Insecta,Hymenoptera,Apidae,Bombus,citrinus,2498,Enter comma separated list of top 5 places where this insect is found,pollinator,Enter size in millimeter when the insect is adult
123,Insecta,Hymenoptera,Apidae,Bombus,pascuorum,12620,"United Kingdom, Ireland, France, Germany, Norway",Pollinator,"12-14 millimeters for workers, up to 18 millimeters for queens"
124,Insecta,Hymenoptera,Apidae,Bombus,terrestris,7286,"Europe, Western Asia, Northern Africa, Introduced in New Zealand, Tasmania",Pollinator,"Approximately 14-17mm for workers, queens can be up to 22mm"
125,Insecta,Hymenoptera,Apidae,Bombus,californicus,2464,"California, Oregon, Washington, Nevada, Arizona",Pollinator,18-23 millimeters
126,Insecta,Hymenoptera,Apidae,Bombus,melanopygus,8524,"Western North America, California, Oregon, Washington, British Columbia, Alaska",Pollinator,Approximately 8 to 17 millimeters
127,Insecta,Hymenoptera,Apidae,Bombus,ternarius,9410,"Canada, United States, Northeastern Mexico",Pollinator,9-14 millimeters
128,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,16785,"United States, Mexico, Canada, Costa Rica, Guatemala",Pollinator,Approximately 17-23 mm
129,Insecta,Hymenoptera,Apidae,Bombus,pratorum,2787,"United Kingdom, Ireland, Scandinavia, Belgium, Netherlands",Pollinator,10-15 mm
130,Insecta,Hymenoptera,Apidae,Bombus,sonorus,4194,"United States, Mexico",Pollinator,Approximately 14-18 millimeters
131,Insecta,Hymenoptera,Apidae,Bombus,nevadensis,1695,"Western United States, British Columbia, Alberta, Saskatchewan, Manitoba",Pollinator,"18-23 mm for queens, 14-18 mm for workers, 14-16 mm for males"
132,Insecta,Hymenoptera,Apidae,Melissodes,bimaculatus,5892,"United States, Canada, Mexico, Central America, Northern South America",Pollinator,Approximately 11 to 14 millimeters
133,Insecta,Hymenoptera,Apidae,Tetragonisca,angustula,1120,"Brazil, Argentina, Paraguay, Bolivia, Mexico",Pollinator,"3-4 mm for workers, 5-6 mm for drones, and 10 mm for queens"
134,Insecta,Hymenoptera,Apidae,Trigona,fulviventris,1076,"Mexico, Guatemala, El Salvador, Honduras, Nicaragua",Pollinator,Approximately 4-5 mm
135,Insecta,Hymenoptera,Apidae,Xylocopa,violacea,2598,"Europe, Asia, Northern Africa",Pollinator,23 to 30 mm
136,Insecta,Hymenoptera,Apidae,Xylocopa,sonorina,5192,"Hawaii, California, Nevada, Arizona, Utah",Pollinator,23 to 27 millimeters
137,Insecta,Hymenoptera,Apidae,Xylocopa,micans,3768,"United States, Mexico, Central America, South America, Caribbean",Pollinator,Approximately 20-23 millimeters
138,Insecta,Hymenoptera,Apidae,Xylocopa,virginica,28903,"United States, Canada, Mexico, Central America, Northern parts of South America",Pollinator,Approximately 12 to 25 mm
139,Insecta,Hymenoptera,Apidae,Xylocopa,tabaniformis,760,"Brazil, Argentina, Paraguay, Uruguay, Venezuela",Pollinator,Approximately 20-30 millimeters
140,Insecta,Hymenoptera,Apidae,Xylocopa,californica,971,"California, Nevada, Oregon, Utah, Arizona",Pollinator,20-23 mm
141,Insecta,Odonata,Argiolestidae,Austroargiolestes,icteromelas,2676,"Eastern Australia, Tasmania, Queensland, New South Wales, Victoria",Predator,Approximately 45-50 mm
142,Insecta,Diptera,Asilidae,Dioctria,hyalipennis,2717,"Europe, North America, Asia, Australia, Africa",Predator,Approximately 10-15 mm
143,Insecta,Diptera,Asilidae,Efferia,aestuans,2137,"United States, Mexico, Central America, South America, Canada",Predator,20-25 millimeters
144,Insecta,Diptera,Asilidae,Laphria,macquarti,421,Enter comma separated list of top 5 places where this insect is found,Predator,Enter size in millimeter when the insect is adult
145,Insecta,Diptera,Asilidae,Laphria,thoracica,1330,"United States, Canada",Predator,12-25
146,Insecta,Diptera,Asilidae,Mallophora,fautrix,1771,"Florida, Georgia, South Carolina, Alabama, Mississippi",Predator,Approximately 20-30 millimeters
147,Insecta,Diptera,Asilidae,Mallophora,leschenaulti,739,"Argentina, Uruguay, Brazil, Paraguay, Bolivia",Predator,Approximately 25-30 millimeters
148,Insecta,Diptera,Asilidae,Microstylum,morosum,557,"United States, Mexico, Argentina, Belize, Costa Rica",Predator,50-60 mm
149,Insecta,Diptera,Asilidae,Promachus,rufipes,2158,"United States, Canada, Mexico, Guatemala, Honduras",Predator,20-35 mm
150,Insecta,Diptera,Asilidae,Promachus,hinei,2256,"United States, Canada, Mexico, Central America, Northern South America",Predator,25-35 mm
151,Insecta,Diptera,Asilidae,Triorla,interrupta,915,Unavailable,Unavailable,Unavailable
152,Insecta,Lepidoptera,Attevidae,Atteva,aurea,9924,"United States, Canada, Mexico, Central America, Southeast Asia",Pest,7-11 mm in length
153,Insecta,Hemiptera,Belostomatidae,Lethocerus,americanus,1403,"United States, Canada, Mexico, Central America, Northern South America",Predator,50-110
154,Insecta,Diptera,Bibionidae,Plecia,nearctica,2624,"United States, Mexico, Central America, parts of South America",Pollinator,6–9 mm
155,Insecta,Blattodea,Blaberidae,Aptera,fusca,714,Enter a comma-separated list of top 5 places where this insect is found,"Classify this insect into one of the following categories: pest, predator, pollinator, parasitoid, decomposer, indicator species, or invasive species",Enter size in millimeters when the insect is an adult
156,Insecta,Blattodea,Blaberidae,Panchlora,nivea,498,"Cuba, Bahamas, Florida, Texas, Central America",Decomposer,20 to 25 mm
157,Insecta,Blattodea,Blaberidae,Pycnoscelus,surinamensis,1905,"Suriname, United States, Southeast Asia, Australia, Africa",Pest,20-25 mm
158,Insecta,Lepidoptera,Blastobasidae,Blastobasis,glandulella,303,"North America, Europe, Asia, Africa, New Zealand",Pest,10-15 mm wing span when the insect is adult
159,Insecta,Blattodea,Blattidae,Blatta,orientalis,1259,"Russia, China, Japan, South Korea, United States",Decomposer,"18-29 mm for females, 20-25 mm for males"
160,Insecta,Blattodea,Blattidae,Periplaneta,australasiae,900,"Australia, Southeast Asia, Africa, New Zealand, Southern United States",Pest,32 to 35 mm
161,Insecta,Blattodea,Blattidae,Periplaneta,fuliginosa,1004,"United States, Japan, Australia, Argentina, Southeast Asia",Pest,34-43 millimeters
162,Insecta,Blattodea,Blattidae,Periplaneta,americana,4879,"United States, China, Russia, India, Brazil",Pest,34-53
163,Insecta,Diptera,Bombyliidae,Bombylius,major,6098,"Europe, North America, Asia, Northern Africa",Pollinator,12-18 mm
164,Insecta,Diptera,Bombyliidae,Poecilanthrax,lucifer,939,"Place 1, Place 2, Place 3, Place 4, Place 5",Predator or parasitoid,Size not provided
165,Insecta,Diptera,Bombyliidae,Xenox,tigrinus,4084,"United States, Canada, Mexico, Costa Rica, Panama",Parasitoid,Approximately 12-18 mm
166,Insecta,Hymenoptera,Braconidae,Cotesia,congregata,648,"North America, especially eastern United States, Canada",Parasitoid,Approximately 2-5 millimeters
167,Insecta,Coleoptera,Brentidae,Arrhenodes,minutus,773,"United States, Canada, Mexico, Puerto Rico, Costa Rica",Pest,3.5-4 mm
168,Insecta,Coleoptera,Buprestidae,Agrilus,planipennis,1650,"Russia, China, Korea, Japan, Mongolia, Canada, United States","Invasive species, Pest",7.5–15 mm
169,Insecta,Coleoptera,Buprestidae,Buprestis,aurulenta,840,"Canada, United States, Mexico, Guatemala, Honduras",Decomposer,15-35 millimeters
170,Insecta,Coleoptera,Buprestidae,Euchroma,giganteum,540,"Brazil, Peru, Argentina, Paraguay, Bolivia",Decomposer,50-80 millimeters
171,Insecta,Diptera,Calliphoridae,Calliphora,vicina,1868,"Europe, North America, Asia, Australia, South Africa",Decomposer,10-14 millimeters
172,Insecta,Diptera,Calliphoridae,Chrysomya,megacephala,748,"Australia, Brazil, India, Thailand, United States",Decomposer,6 to 10
173,Insecta,Diptera,Calliphoridae,Lucilia,sericata,2852,"Europe, North America, Southern Africa, Australia, Argentina",Decomposer,6-12 mm
174,Insecta,Odonata,Calopterygidae,Calopteryx,aequabilis,1076,"United States, Canada",Predator,40-50 mm
175,Insecta,Odonata,Calopterygidae,Calopteryx,haemorrhoidalis,1269,"Spain, France, Italy, Greece, Morocco",Predator,Approximately 35-45 millimeters
176,Insecta,Odonata,Calopterygidae,Calopteryx,splendens,6061,"Western Europe, Southern Finland, British Isles, Balkans, Russia",Predator,Approximately 45-48 millimeters
177,Insecta,Odonata,Calopterygidae,Calopteryx,maculata,15785,"Eastern North America, United States, Canada, Northern Mexico, Great Lakes, Mississippi River",Pollinator,Approximately 40-57 millimeters
178,Insecta,Odonata,Calopterygidae,Calopteryx,virgo,4880,"Europe, North Africa, Western Asia, British Isles",Predator,Body length: 45–49 millimeters; Wingspan: 70–80 millimeters
179,Insecta,Odonata,Calopterygidae,Hetaerina,americana,6033,"United States, Mexico, Costa Rica, Panama, West Indies",Predator,Approximately 40-50 millimeters
180,Insecta,Odonata,Calopterygidae,Hetaerina,titia,1524,"United States, Mexico, Belize, Guatemala, Honduras",Predator,Body length approximately 38–49 millimeters
181,Insecta,Odonata,Calopterygidae,Matrona,cyanoptera,407,"Taiwan, China, Japan, Vietnam, Thailand",Predator,Approximately 40-50 millimeters
182,Insecta,Coleoptera,Cantharidae,Atalantycha,bilineata,1600,"Eastern United States, Southeastern Canada, Pennsylvania, Ohio, Virginia",Predator,Approximately 10-15 mm
